line_no,line_name,,,,,,
N35,Downtown/SFU NightBus,,,,,,
N8,Downtown/Fraser NightBus,,,,,,
N9,Downtown/Lougheed Station/Coquitlam Central Station,,,,,,
R1,King George Blvd,,,,,,
R2,Marine Dr,,,,,,
R3,Lougheed Hwy,,,,,,
R4,41st Ave,,,,,,
R5,Hastings St,,,,,,
R6,Scott Rd,,,,,,
SB,SeaBus,,,,,,
WCE,West Coast Express,,,,,,
